Company Name,Ticker,Market Cap (mil),Zacks Rank,Div. Yield %,% Change Q1 Est. (4 weeks),Beta,Sector
"Ardagh Metal Packaging","AMBP","2211.49","2","10.81","120",".55","Industrial Products"
"AngloGold Ashanti PLC","AU","34518.58","1","3.89","1.81",".48","Basic Materials"
"Banco De Chile","BCH","18546.74","2","4.27","2.22",".28","Finance"
"Community Financial System, Inc.","CBU","2856.89","2","3.47","1.36",".79","Finance"
"CNA Financial","CNA","12458.78","2","4","7.58",".5","Finance"
"Canadian Natural Resources Limited","CNQ","70829.33","1","5.03","1.14",".96","Oils-Energy"
"DANSKE BANK","DNKEY","36856.68","2","6.85","4.04",".72","Finance"
"First Hawaiian","FHB","2980.41","1","4.32","7.92",".91","Finance"
"Federated Hermes","FHI","3725.35","1","2.83","3.65",".83","Finance"
"Fulton Financial","FULT","3142.33","2","4.14","5.26",".88","Finance"
"HSBC","HSBC","238575.95","2","2.86","11.54",".64","Finance"
"Coca Cola Femsa","KOF","147209.52","1","4.11","3.72",".61","Consumer Staples"
"NBT Bancorp","NBTB","2072.21","2","3.74","1.38",".55","Finance"
"The Bank of N.T. Butterfield & Son Limited","NTB","2140.71","1","4.44","5.04",".68","Finance"
"OMV","OMVKY","18301.09","1","4.15","5.71",".22","Oils-Energy"
"Plains Group","PAGP","3536.26","2","8.51","2.08",".7","Oils-Energy"
"Park National","PRK","2423.32","2","2.84","1.22",".76","Finance"
"Radian Group","RDN","4675.73","1","2.96","3.33",".81","Finance"
"Reynolds Consumer Products","REYN","5018.46","2","3.86","6.36",".58","Consumer Discretionary"
"Swedbank","SWDBY","33675.15","1","6.78","15.52",".7","Finance"
"Telefonica","TEF","23304.37","2","6.08","40",".48","Utilities"
"TIM","TIMB","11009.82","1","4.18","3.3",".62","Computer and Technology"
"United Bankshares","UBSI","4997.43","1","4.16","3.21",".83","Finance"
"USA Compression Partners","USAC","2897.83","1","8.89","8.33",".36","Oils-Energy"
"VALE","VALE","55012.77","1","6.02","1.09",".82","Basic Materials"
"Zions Bancorporation","ZION","7445.54","2","3.57","4.99",".96","Finance"
