Company Name,Ticker,Zacks Rank,Last Close,Market Cap (mil),This Yr`s Est.d Growth (F(1)/F(0)),% Change Q1 Est. (4 weeks),Zacks Industry Rank,Avg Volume
"Ares Commercial Real Estate","ACRE","2","4.86","267.43","48.17","100","88","451035"
"Altimmune","ALT","2","4.59","478.93","25.97","21.6","70","3048721"
"American Resources","AREC","2","3.08","312.29","20.19","4.35","81","10030395"
"Aveanna Healthcare","AVAH","2","8.45","1765.3","795.83","48.49","50","1392399"
"Biohaven Ltd.","BHVN","2","9.46","1001.39","20.92","7.88","81","6026108"
"Ballard Power Systems","BLDP","2","2.85","857.1","41.75","15.32","61","6356917"
"DigitalBridge Group","DBRG","2","9.26","1691.56","25.86","3.03","88","3646164"
"Digi International","DGII","2","39.81","1477.83","13.18","5.77","38","190314"
"Guardian Pharmacy Services, Inc.","GRDN","2","27.55","1744.48","1750","8","70","366423"
"Hanmi Financial","HAFC","2","26.27","786.93","23.09","5.47","21","177539"
"Horizon Bancorp IN","HBNC","2","15.74","806.16","42.55","8.76","47","337803"
"Healthcare Services Group","HCSG","2","17.25","1215.36","69.81","4.55","47","699689"
"Heritage Financial","HFWA","2","22.21","754.18","17.12","2.4","66","186903"
"Horace Mann Educators","HMN","2","45.57","1854.01","46.23","2.87","29","264419"
"Heritage Commerce Corp","HTBK","2","10.33","633.06","31.06","8.98","21","396484"
"Jamf","JAMF","2","12.87","1714.57","39.34","2.27","75","5187732"
"Jade Biosciences, Inc.","JBIO","2","12.46","406.53","96.39","17.12","81","223440"
"Seres Therapeutics","MCRB","2","28.63","259","97.59","12.73","81","211112"
"NB Bancorp, Inc.","NBBK","2","18.26","727.23","45.61","4.55","47","383599"
"NGL Energy Partners","NGL","2","9.8","1232.08","204","28.57","89","513341"
"OI Glass","OI","2","12.7","1950.65","96.6","86.21","13","1805159"
"Palisade Bio","PALI","2","2.17","323.34","93.67","96.88","81","4360400"
"Pagaya Technologies Ltd.","PGY","2","22.03","1687.68","273.49","7.14","70","4509267"
"The Pennant Group","PNTG","2","26.16","904.97","22.34","6.67","50","305483"
"Rapport Therapeutics, Inc.","RAPP","2","26.88","1281.13","26.32","13.72","81","363393"
"The Real Brokerage","REAX","2","3.55","751.89","67.86","16.67","75","1593642"
"Redwood Trust","RWT","2","5.08","643.55","51.92","17.65","88","1221633"
"Rezolute","RZLT","2","10.16","942.11","16.33","27.27","81","1476608"
"Sana Biotechnology","SANA","2","3.4","905.65","26.75","26.96","81","3996796"
"Sight Sciences","SGHT","2","6.93","366.4","12.12","28.77","64","202774"
"Theravance Biopharma","TBPH","2","17.73","898.42","171.88","70.37","70","487309"
"Telos","TLS","2","5.63","415.24","116.94","68.75","86","1116435"
"Tango Therapeutics","TNGX","2","8.285","1115.11","24.93","13.74","81","4786958"
"Veris Residential","VRE","2","15.09","1409.8","12.22","3.23","89","628828"
"Weave Communications","WEAV","2","5.64","440.07","66.67","42.86","64","1458135"
"WisdomTree, Inc.","WT","2","10.95","1540.83","25","1.87","70","3064186"
"X4 Pharmaceuticals","XFOR","2","3.65","319.14","49.07","34.47","81","1786460"
