Company Name,Ticker,Zacks Rank,Last Close,Market Cap (mil),This Yr`s Est.d Growth (F(1)/F(0)),% Change Q1 Est. (4 weeks),Zacks Industry Rank,Avg Volume
"Akebia Therapeutics","AKBA","2","2.04","540.9","116.16","100","91","4802605"
"Altimmune","ALT","2","4.11","428.85","18.06","4.94","91","2709348"
"Aurinia Pharmaceuticals","AUPH","2","14.61","1926.19","1837.5","29.17","91","1741542"
"Byrna Technologies","BYRN","2","18.44","419.06","27.42","8","83","520873"
"DigitalBridge Group","DBRG","2","10.54","1925.39","25.86","3.03","77","4741961"
"Fastly","FSLY","2","11.56","1703.94","88.33","104","69","3681405"
"Hanmi Financial","HAFC","2","26.59","801.05","23.09","5.47","34","185915"
"Horizon Bancorp IN","HBNC","2","16","815.54","42.55","8.76","65","423292"
"Healthcare Services Group","HCSG","2","17.26","1216.06","69.81","4.55","85","806968"
"Heritage Financial","HFWA","2","22.06","749.01","15.14","2.4","92","187883"
"Horace Mann Educators","HMN","2","45.34","1845.14","40.09","2.42","65","237480"
"Integra Resources","ITRG","2","2.76","466.67","275.29","22.22","69","1976808"
"Lexeo Therapeutics, Inc.","LXEO","2","8.19","442.27","33.82","29.08","91","1526543"
"MBX Biosciences, Inc.","MBX","2","25.57","858.99","53.4","9.07","87","972790"
"NB Bancorp, Inc.","NBBK","2","18.52","737.59","45.61","4.55","65","237721"
"NGL Energy Partners","NGL","2","9.52","1196.88","204","28.57","92","364695"
"Oruka Therapeutics, Inc.","ORKA","2","27.75","1152.77","38.63","3.08","91","454096"
"Ouster","OUST","2","25.71","1486.53","26.2","4.88","62","3246159"
"Personalis","PSNL","2","6.93","615.41","31.75","5.08","30","1388294"
"The Real Brokerage","REAX","2","3.67","777.31","67.86","16.67","83","1643380"
"Redwood Trust","RWT","2","5.18","669.38","51.92","17.65","77","1105520"
"Tango Therapeutics","TNGX","2","7.87","1059.26","23.67","10.44","87","4345305"
"TriMas","TRS","2","31.16","1266.52","24.85","2.52","62","527227"
"10x Genomics","TXG","2","15.25","1898.48","65.68","4.18","65","2858993"
"Weave Communications","WEAV","2","6.39","492.26","66.67","42.86","69","1265200"
"WisdomTree, Inc.","WT","2","11.58","1629.48","25","6.64","73","3102681"
