Company Name,Ticker,Market Cap (mil),Zacks Rank,Div. Yield %,% Change Q1 Est. (4 weeks),Beta,Sector
"Banco De Chile","BCH","18430.57","2","4.3","2.22",".28","Finance"
"Community Financial System, Inc.","CBU","2972.74","2","3.33","1.36",".79","Finance"
"CNA Financial","CNA","12272.02","2","4.06","7.58",".5","Finance"
"Canadian Natural Resources Limited","CNQ","66708.18","2","5.35","8.02",".96","Oils-Energy"
"Dominion Energy","D","51982.98","2","4.39","4.19",".63","Utilities"
"Digital Realty Trust","DLR","58123.9","2","2.88","2.06",".96","Finance"
"Federated Hermes","FHI","3851.75","1","2.74","3.96",".83","Finance"
"First Horizon","FHN","10744.04","2","2.75","3.05",".7","Finance"
"F.N.B.","FNB","5798.23","2","2.96","3.08",".98","Finance"
"Fulton Financial","FULT","3194.7","2","4.07","1.05",".88","Finance"
"HSBC","HSBC","248582.77","2","2.75","26.09",".64","Finance"
"IDACORP","IDA","6961.02","2","2.73","9.93",".59","Utilities"
"NBT Bancorp","NBTB","2171.6","2","3.57","1.38",".55","Finance"
"The Bank of N.T. Butterfield & Son Limited","NTB","2184.91","1","4.35","5.04",".68","Finance"
"Omnicom Group","OMC","14037.62","2","3.85","1.44",".94","Business Services"
"Plains Group","PAGP","3488.77","2","8.62","2.08",".7","Oils-Energy"
"PepsiCo","PEP","195010.05","2","3.99","1.43",".45","Consumer Staples"
"Portland General Electric","POR","5500.71","2","4.29","5.22",".67","Utilities"
"Park National","PRK","2526.86","2","2.72","1.22",".76","Finance"
"Radian Group","RDN","4786.83","1","2.89","3.33",".81","Finance"
"Reynolds Consumer Products","REYN","5195.14","2","3.72","6.36",".58","Consumer Discretionary"
"Telefonica","TEF","23134.26","2","6.12","40",".48","Utilities"
"United Bankshares","UBSI","5143.46","2","4.04","3.21",".83","Finance"
"USA Compression Partners","USAC","2876.97","1","8.96","8.33",".36","Oils-Energy"
