Company Name,Ticker,Market Cap (mil),Zacks Rank,Div. Yield %,% Change Q1 Est. (4 weeks),Beta
"Ardagh Metal Packaging","AMBP","2085.97","2","11.46","65",".55"
"Banco De Chile","BCH","18521.48","2","4.28","2.22",".28"
"Community Financial System, Inc.","CBU","3020.66","2","3.28","1.36",".79"
"CNA Financial","CNA","12456.08","2","4","7.58",".5"
"Canadian Natural Resources Limited","CNQ","67475.35","1","5.28","9.26",".96"
"Dominion Energy","D","52264.8","2","4.36","4.19",".63"
"Digital Realty Trust","DLR","57904.06","2","2.89","2.06",".96"
"First Hawaiian","FHB","3079.38","2","4.18","7.92",".91"
"Federated Hermes","FHI","3871.14","1","2.72","3.96",".83"
"First Horizon","FHN","10680.03","2","2.77","3.05",".7"
"F.N.B.","FNB","5758.84","2","2.99","3.08",".98"
"Fulton Financial","FULT","3216.38","2","4.04","1.05",".88"
"HSBC","HSBC","250273.56","2","2.73","26.09",".64"
"IDACORP","IDA","6956.7","2","2.73","9.93",".59"
"Coca Cola Femsa","KOF","152957.41","2","3.95","3.72",".61"
"NBT Bancorp","NBTB","2181.02","2","3.55","1.38",".55"
"The Bank of N.T. Butterfield & Son Limited","NTB","2195.37","1","4.33","5.04",".68"
"Omnicom Group","OMC","14263.42","2","3.79","1.97",".94"
"PepsiCo","PEP","198373.72","2","3.92","1.43",".45"
"Portland General Electric","POR","5657.07","2","4.18","5.22",".67"
"Park National","PRK","2543.42","2","2.71","1.22",".76"
"Radian Group","RDN","4808.51","1","2.87","3.33",".81"
"Reynolds Consumer Products","REYN","5195.14","1","3.72","6.36",".58"
"Telefonica","TEF","23814.68","2","5.95","40",".48"
"United Bankshares","UBSI","5181.37","2","4.01","3.21",".83"
"USA Compression Partners","USAC","2944.45","1","8.75","8.33",".36"
"Zions Bancorporation","ZION","7776.25","2","3.42","7.4",".96"
