Company Name,Ticker,Zacks Rank,Last Close,Market Cap (mil),This Yr`s Est.d Growth (F(1)/F(0)),% Change Q1 Est. (4 weeks),Zacks Industry Rank,Avg Volume
"Altimmune","ALT","2","4.28","446.58","24.63","19.14","79","2904649"
"DigitalBridge Group","DBRG","2","10.65","1945.48","25.86","3.03","83","4063317"
"Diversified Healthcare Trust","DHC","2","4.57","1106.61","312.5","175","66","760746"
"Hanmi Financial","HAFC","2","26.91","806.1","23.09","5.47","21","185848"
"Horizon Bancorp IN","HBNC","2","16.21","830.23","42.55","8.76","43","403639"
"Healthcare Services Group","HCSG","2","17.74","1249.88","69.81","4.55","61","810689"
"Heritage Financial","HFWA","2","22.45","762.33","15.14","2.4","71","189471"
"Horace Mann Educators","HMN","2","45.61","1855.64","40.09","4.1","52","241400"
"Lexeo Therapeutics, Inc.","LXEO","2","9.12","492.49","34.79","29.08","79","1541064"
"MBX Biosciences, Inc.","MBX","2","24.91","836.82","54.26","8.41","83","939081"
"MeiraGTx","MGTX","2","8.9","715.98","56.23","6.14","83","469726"
"NB Bancorp, Inc.","NBBK","2","18.51","737.19","45.61","4.55","43","247166"
"NGL Energy Partners","NGL","2","9.98","1254.71","204","28.57","86","420750"
"Oruka Therapeutics, Inc.","ORKA","2","28.2","1171.46","38.63","3.08","79","402139"
"Personalis","PSNL","2","8.44","749.51","31.75","5.08","37","1698163"
"Rapport Therapeutics, Inc.","RAPP","2","25.5","930.7","24.6","7.74","83","391424"
"The Real Brokerage","REAX","2","3.99","845.08","67.86","16.67","73","1683863"
"Redwood Trust","RWT","2","5.34","676.48","51.92","17.65","83","1185632"
"Rezolute","RZLT","2","10.04","930.98","16.33","27.27","83","1578491"
"Sana Biotechnology","SANA","2","4.24","1129.39","25.59","17.68","83","6876425"
"Sight Sciences","SGHT","2","7.04","372.22","12.12","28.77","71","258696"
"Tango Therapeutics","TNGX","2","8.38","1127.9","23.67","10.44","83","4369740"
"TriMas","TRS","2","31.54","1281.96","26.06","3.36","55","547218"
"Weave Communications","WEAV","2","6.41","500.14","66.67","42.86","58","1273360"
"WisdomTree, Inc.","WT","2","11.85","1667.47","25","6.64","61","3025299"
