Company Name,Ticker,Market Cap (mil),Zacks Rank,Div. Yield %,% Change Q1 Est. (4 weeks),Beta,Sector
"Ardagh Metal Packaging","AMBP","2139.76","2","11.17","120",".55","Industrial Products"
"AngloGold Ashanti PLC","AU","32638.2","1","4.12","1.81",".48","Basic Materials"
"Banco De Chile","BCH","18582.09","2","4.27","2.22",".28","Finance"
"Community Financial System, Inc.","CBU","2879.53","2","3.44","1.36",".79","Finance"
"CNA Financial","CNA","12393.82","2","4.02","7.58",".5","Finance"
"Canadian Natural Resources Limited","CNQ","69433.58","1","5.13","7.93",".96","Oils-Energy"
"Digital Realty Trust","DLR","54170.2","2","3.09","2.06",".96","Finance"
"DANSKE BANK","DNKEY","37825.28","2","6.67","4.04",".72","Finance"
"First Hawaiian","FHB","2893.8","2","4.45","7.92",".91","Finance"
"Federated Hermes","FHI","3719.15","1","2.84","3.65",".83","Finance"
"F.N.B.","FNB","5508.14","2","3.12","2.42",".98","Finance"
"Fulton Financial","FULT","3075.51","2","4.23","5.26",".88","Finance"
"HSBC","HSBC","245753.25","2","2.78","11.54",".64","Finance"
"IDACORP","IDA","6908.6","2","2.75","9.93",".59","Utilities"
"Coca Cola Femsa","KOF","146470.03","2","4.13","3.72",".61","Consumer Staples"
"NBT Bancorp","NBTB","2074.3","2","3.73","1.38",".55","Finance"
"The Bank of N.T. Butterfield & Son Limited","NTB","2126.93","1","4.47","5.04",".68","Finance"
"Omnicom Group","OMC","14093.59","2","3.83","1.97",".94","Business Services"
"OMV","OMVKY","18412.36","1","4.13","5.71",".22","Oils-Energy"
"Plains Group","PAGP","3514.49","2","8.56","2.08",".7","Oils-Energy"
"PepsiCo","PEP","202133.91","2","3.85","1.43",".45","Consumer Staples"
"Park National","PRK","2407.4","2","2.86","1.22",".76","Finance"
"Radian Group","RDN","4647.27","1","2.97","3.33",".81","Finance"
"Reynolds Consumer Products","REYN","5095.23","2","3.8","6.36",".58","Consumer Discretionary"
"Telefonica","TEF","24268.29","2","5.84","40",".48","Utilities"
"TIM","TIMB","11193.8","1","4.11","3.3",".62","Computer and Technology"
"United Bankshares","UBSI","4890.71","2","4.25","3.21",".83","Finance"
"USA Compression Partners","USAC","2864.71","1","8.99","8.33",".36","Oils-Energy"
"VALE","VALE","55239.72","1","6","1.09",".82","Basic Materials"
"Zions Bancorporation","ZION","7222.6","2","3.68","7.4",".96","Finance"
