Company Name,Ticker,Market Cap (mil),Zacks Rank,Div. Yield %,% Change Q1 Est. (4 weeks),Beta,Sector
"Ardagh Metal Packaging","AMBP","2133.79","2","11.2","65",".55","Industrial Products"
"Algonquin Power & Utilities","AQN","4286.3","2","4.66","6.06",".75","Utilities"
"AngloGold Ashanti PLC","AU","28541.63","1","4.71","52.29",".48","Basic Materials"
"Banco De Chile","BCH","17632.53","1","4.5","2.22",".28","Finance"
"Banco  ntander Brasil","BSBR","21595.62","2","4.62","2.63",".85","Finance"
"Community Financial System, Inc.","CBU","2932.51","2","3.39","1.36",".79","Finance"
"Canadian Natural Resources Limited","CNQ","66770.73","1","5.34","8.02",".96","Oils-Energy"
"Dominion Energy","D","50088.02","2","4.55","4.19",".63","Utilities"
"HF Sinclair","DINO","9653.36","2","3.88","67.81",".99","Oils-Energy"
"Digital Realty Trust","DLR","58118.41","2","2.86","1.74",".96","Finance"
"Federated Hermes","FHI","3760.11","1","2.81","3.72",".83","Finance"
"First Horizon","FHN","10845.49","2","2.81","3.05",".7","Finance"
"F.N.B.","FNB","5645.74","2","3.05","2.56",".98","Finance"
"Fulton Financial","FULT","3163.15","2","4.15","1.05",".88","Finance"
"HSBC","HSBC","241785.03","1","2.83","26.09",".64","Finance"
"IDACORP","IDA","6972.92","2","2.67","10.71",".59","Utilities"
"NBT Bancorp","NBTB","2120.39","2","3.66","1.38",".55","Finance"
"The Bank of N.T. Butterfield & Son Limited","NTB","2198.69","1","4.32","12.31",".68","Finance"
"ONE Gas","OGS","4811.27","2","3.34","1.21",".85","Utilities"
"Omnicom Group","OMC","14477.63","2","3.73","1.44",".94","Business Services"
"PepsiCo","PEP","199754.72","2","3.89","4.05",".45","Consumer Staples"
"Portland General Electric","POR","5004.81","2","4.6","5.22",".67","Utilities"
"Park National","PRK","2445.9","1","2.81","1.22",".76","Finance"
"Telefonica","TEF","28634.32","2","4.95","40",".48","Utilities"
"TIM","TIMB","10937.19","1","4.21","7.06",".62","Computer and Technology"
"United Bankshares","UBSI","5069.56","2","4.14","3.21",".83","Finance"
"United Community Banks","UCB","3547.05","2","3.42","1.06",".91","Finance"
"USA Compression Partners","USAC","2707.64","2","9.52","2.86",".36","Oils-Energy"
"Viatris","VTRS","11960.28","2","4.63","3.77",".9","Medical"
