Company Name,Ticker,Zacks Rank,Last Close,Market Cap (mil),This Yr`s Est.d Growth (F(1)/F(0)),% Change Q1 Est. (4 weeks),Zacks Industry Rank,Avg Volume
"Altimmune","ALT","2","4.23","441.37","25.97","21.6","83","2909503"
"DigitalBridge Group","DBRG","2","10.29","1879.72","25.86","3.03","85","3856720"
"Hanmi Financial","HAFC","2","26.9","805.8","23.09","5.47","17","189721"
"Healthcare Services Group","HCSG","2","17.7","1247.06","69.81","4.55","79","810702"
"Heritage Financial","HFWA","2","22.37","759.61","15.14","2.4","66","193968"
"Horace Mann Educators","HMN","2","45.49","1850.76","40.09","4.1","43","245388"
"Integra Resources","ITRG","2","3.25","549.52","275.29","10","76","2402037"
"Lexeo Therapeutics, Inc.","LXEO","2","9.21","497.35","34.79","29.08","83","1561110"
"MBX Biosciences, Inc.","MBX","2","24.6","826.41","54.26","8.41","85","902299"
"MeiraGTx","MGTX","2","8.66","696.67","56.23","6.14","85","482372"
"NB Bancorp, Inc.","NBBK","2","18.45","734.8","45.61","4.55","51","246935"
"NGL Energy Partners","NGL","2","10.26","1289.91","204","28.57","87","447385"
"Oruka Therapeutics, Inc.","ORKA","2","28.3","1175.62","38.63","3.08","83","384959"
"The Pennant Group","PNTG","2","25.25","873.49","22.34","3.23","61","342314"
"PROKIDNEY CP","PROK","2","2.68","788.68","26.34","5","83","1586143"
"Rapport Therapeutics, Inc.","RAPP","2","25.17","918.65","26.32","13.72","85","383362"
"The Real Brokerage","REAX","2","4.1","868.38","67.86","16.67","66","1708730"
"Redwood Trust","RWT","2","5.24","663.82","51.92","17.65","85","1187773"
"Rezolute","RZLT","2","10","927.28","16.33","27.27","85","1600869"
"Sana Biotechnology","SANA","2","4.06","1081.45","25.59","17.68","85","5227710"
"Sight Sciences","SGHT","2","7.72","408.17","12.12","28.77","59","295515"
"Telos","TLS","2","6.6","486.78","95.97","12.5","61","1031068"
"Tango Therapeutics","TNGX","2","7.67","1032.34","23.67","10.44","85","4445120"
"TriMas","TRS","2","31.72","1289.28","26.06","3.36","51","611661"
"Weave Communications","WEAV","2","6.34","494.68","66.67","42.86","57","1308369"
"WisdomTree, Inc.","WT","2","11.6","1632.3","25","6.64","66","2998297"
